id_hecho;tipo_hecho_segun_victima;provincia_nombre;fecha_hecho;hora_hecho;tipo_lugar;tipo_lugar_otro;tipo_lugar_ampliado;clase_arma;clase_arma_otro;en_ocasion_otro_delito;en_ocasion_otro_delito_otro;victima_sexo;victima_identidad_genero;victima_identidad_genero_otro;victima_tr_edad;victima_mayor;victima_relacion;victima_situacion_ocupacional;inculpado_sexo;inculpado_tr_edad;inculpado_mayor
18625;HD Varón;Ciudad Autónoma de Buenos Aires;12/9/2018;07:42:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18626;HD Mujer Cis Trans Travesti-Otro homicidio;Ciudad Autónoma de Buenos Aires;13/9/2018;01:50:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;No corresponde;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;No corresponde;Sin determinar;Sin determinar
18627;HD Varón;Ciudad Autónoma de Buenos Aires;15/9/2018;07:00:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Otras relaciones no familiares;Sin Determinar;No corresponde;Sin determinar;Sin determinar
18628;HD Varón;Ciudad Autónoma de Buenos Aires;19/9/2018;05:20:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;No corresponde;Sin determinar;Sin determinar
18629;HD Varón;Ciudad Autónoma de Buenos Aires;20/9/2018;17:00:00;Vía pública;;Vía pública;Objeto contundente;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Otras relaciones no familiares;Sin Determinar;No corresponde;Sin determinar;Sin determinar
18630;HD Varón;Ciudad Autónoma de Buenos Aires;21/9/2018;14:06:00;Vía pública;;Vía pública;Arma de fuego;;Sí robo;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;No corresponde;No corresponde;Sin determinar;Sin determinar
18631;HD Varón;Ciudad Autónoma de Buenos Aires;21/9/2018;09:15:00;Domicilio particular;;Domicilio particular;Golpes;;Sí robo;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;Sin determinar;Sin determinar;Sin determinar
18632;HD Mujer Cis Trans Travesti-Otro homicidio;Ciudad Autónoma de Buenos Aires;22/9/2018;09:00:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;No corresponde;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;No corresponde;Sin determinar;Sin determinar
18633;HD Varón;Ciudad Autónoma de Buenos Aires;30/9/2018;23:30:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Sin Determinar;No corresponde;Sin determinar;Sin determinar
18634;HD Varón;Ciudad Autónoma de Buenos Aires;30/9/2018;02:30:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Sin relación;Sin Determinar;No corresponde;No corresponde;Sí
